,id,product,year,day,hour
0,1,ABI-L1b-RadC,2022,209,00
1,2,ABI-L1b-RadC,2022,209,01
2,3,ABI-L1b-RadC,2022,209,02
3,4,ABI-L1b-RadC,2022,209,03
4,5,ABI-L1b-RadC,2022,209,04
5,6,ABI-L1b-RadC,2022,209,05
6,7,ABI-L1b-RadC,2022,209,06
7,8,ABI-L1b-RadC,2022,209,07
8,9,ABI-L1b-RadC,2022,209,08
9,10,ABI-L1b-RadC,2022,209,09
10,11,ABI-L1b-RadC,2022,209,10
11,12,ABI-L1b-RadC,2022,209,11
12,13,ABI-L1b-RadC,2022,209,12
13,14,ABI-L1b-RadC,2022,209,13
14,15,ABI-L1b-RadC,2022,209,14
15,16,ABI-L1b-RadC,2022,209,15
16,17,ABI-L1b-RadC,2022,209,16
17,18,ABI-L1b-RadC,2022,209,17
18,19,ABI-L1b-RadC,2022,209,18
19,20,ABI-L1b-RadC,2022,209,19
20,21,ABI-L1b-RadC,2022,209,20
21,22,ABI-L1b-RadC,2022,209,21
22,23,ABI-L1b-RadC,2022,209,22
23,24,ABI-L1b-RadC,2022,209,23
24,25,ABI-L1b-RadC,2022,210,00
25,26,ABI-L1b-RadC,2022,210,01
26,27,ABI-L1b-RadC,2022,210,02
27,28,ABI-L1b-RadC,2022,210,03
28,29,ABI-L1b-RadC,2022,210,04
29,30,ABI-L1b-RadC,2022,210,05
30,31,ABI-L1b-RadC,2022,210,06
31,32,ABI-L1b-RadC,2022,210,07
32,33,ABI-L1b-RadC,2022,210,08
33,34,ABI-L1b-RadC,2022,210,09
34,35,ABI-L1b-RadC,2022,210,10
35,36,ABI-L1b-RadC,2022,210,11
36,37,ABI-L1b-RadC,2022,210,12
37,38,ABI-L1b-RadC,2022,210,13
38,39,ABI-L1b-RadC,2022,210,14
39,40,ABI-L1b-RadC,2022,210,15
40,41,ABI-L1b-RadC,2022,213,17
41,42,ABI-L1b-RadC,2022,213,18
42,43,ABI-L1b-RadC,2022,213,19
43,44,ABI-L1b-RadC,2022,213,20
44,45,ABI-L1b-RadC,2022,213,21
45,46,ABI-L1b-RadC,2022,213,22
46,47,ABI-L1b-RadC,2022,213,23
47,48,ABI-L1b-RadC,2022,214,00
48,49,ABI-L1b-RadC,2022,214,01
49,50,ABI-L1b-RadC,2022,214,02
50,51,ABI-L1b-RadC,2022,214,03
51,52,ABI-L1b-RadC,2022,214,04
52,53,ABI-L1b-RadC,2022,214,05
53,54,ABI-L1b-RadC,2022,214,06
54,55,ABI-L1b-RadC,2022,214,07
55,56,ABI-L1b-RadC,2022,214,08
56,57,ABI-L1b-RadC,2022,214,09
57,58,ABI-L1b-RadC,2022,214,10
58,59,ABI-L1b-RadC,2022,214,11
59,60,ABI-L1b-RadC,2022,214,12
60,61,ABI-L1b-RadC,2022,214,13
61,62,ABI-L1b-RadC,2022,214,14
62,63,ABI-L1b-RadC,2022,214,15
63,64,ABI-L1b-RadC,2022,214,16
64,65,ABI-L1b-RadC,2022,214,17
65,66,ABI-L1b-RadC,2022,214,18
66,67,ABI-L1b-RadC,2022,214,19
67,68,ABI-L1b-RadC,2022,214,20
68,69,ABI-L1b-RadC,2022,214,21
69,70,ABI-L1b-RadC,2022,214,22
70,71,ABI-L1b-RadC,2022,214,23
71,72,ABI-L1b-RadC,2022,215,00
72,73,ABI-L1b-RadC,2022,215,01
73,74,ABI-L1b-RadC,2022,215,02
74,75,ABI-L1b-RadC,2022,215,03
75,76,ABI-L1b-RadC,2022,215,04
76,77,ABI-L1b-RadC,2022,215,05
77,78,ABI-L1b-RadC,2022,215,06
78,79,ABI-L1b-RadC,2022,215,07
79,80,ABI-L1b-RadC,2022,215,08
80,81,ABI-L1b-RadC,2022,215,09
81,82,ABI-L1b-RadC,2022,215,10
82,83,ABI-L1b-RadC,2022,215,11
83,84,ABI-L1b-RadC,2022,215,12
84,85,ABI-L1b-RadC,2022,215,13
85,86,ABI-L1b-RadC,2022,215,14
86,87,ABI-L1b-RadC,2022,215,15
87,88,ABI-L1b-RadC,2022,215,16
88,89,ABI-L1b-RadC,2022,215,17
89,90,ABI-L1b-RadC,2022,215,18
90,91,ABI-L1b-RadC,2022,215,19
91,92,ABI-L1b-RadC,2022,215,20
92,93,ABI-L1b-RadC,2022,215,21
93,94,ABI-L1b-RadC,2022,215,22
94,95,ABI-L1b-RadC,2022,215,23
95,96,ABI-L1b-RadC,2022,216,00
96,97,ABI-L1b-RadC,2022,216,01
97,98,ABI-L1b-RadC,2022,216,02
98,99,ABI-L1b-RadC,2022,216,03
99,100,ABI-L1b-RadC,2022,216,04
100,101,ABI-L1b-RadC,2022,216,05
101,102,ABI-L1b-RadC,2022,216,06
102,103,ABI-L1b-RadC,2022,216,07
103,104,ABI-L1b-RadC,2022,216,08
104,105,ABI-L1b-RadC,2022,216,09
105,106,ABI-L1b-RadC,2022,216,10
106,107,ABI-L1b-RadC,2022,216,11
107,108,ABI-L1b-RadC,2022,216,12
108,109,ABI-L1b-RadC,2022,216,13
109,110,ABI-L1b-RadC,2022,216,14
110,111,ABI-L1b-RadC,2022,216,15
111,112,ABI-L1b-RadC,2022,216,16
112,113,ABI-L1b-RadC,2022,216,17
113,114,ABI-L1b-RadC,2022,216,18
114,115,ABI-L1b-RadC,2022,216,19
115,116,ABI-L1b-RadC,2022,216,20
116,117,ABI-L1b-RadC,2022,216,21
117,118,ABI-L1b-RadC,2022,216,22
118,119,ABI-L1b-RadC,2022,216,23
119,120,ABI-L1b-RadC,2022,217,00
120,121,ABI-L1b-RadC,2022,217,01
121,122,ABI-L1b-RadC,2022,217,02
122,123,ABI-L1b-RadC,2022,217,03
123,124,ABI-L1b-RadC,2022,217,04
124,125,ABI-L1b-RadC,2022,217,05
125,126,ABI-L1b-RadC,2022,217,06
126,127,ABI-L1b-RadC,2022,217,07
127,128,ABI-L1b-RadC,2022,217,08
128,129,ABI-L1b-RadC,2022,217,09
129,130,ABI-L1b-RadC,2022,217,10
130,131,ABI-L1b-RadC,2022,217,11
131,132,ABI-L1b-RadC,2022,217,12
132,133,ABI-L1b-RadC,2022,217,13
133,134,ABI-L1b-RadC,2022,217,14
134,135,ABI-L1b-RadC,2022,217,15
135,136,ABI-L1b-RadC,2022,217,16
136,137,ABI-L1b-RadC,2022,217,17
137,138,ABI-L1b-RadC,2022,217,18
