,ground_station,state,county,latitude,longitude,elevation
0,KABR,SD, BROWN,45.455833,-98.413333,1383
1,KABX,NM, BERNALILLO,35.149722,-106.82388,5951
2,KAKQ,VA, SUSSEX,36.98405,-77.007361,255
3,KAMA,TX, POTTER,35.233333,-101.70927,3703
4,KAMX,FL, MIAMI-DADE,25.611083,-80.412667,111
5,KAPX,MI, ANTRIM,44.90635,-84.719533,1561
6,KARX,WI, LA CROSSE,43.822778,-91.191111,1357
7,KATX,WA, ISLAND,48.194611,-122.49569,642
8,KBBX,CA, BUTTE,39.495639,-121.63161,221
9,KBGM,NY, BROOME,42.199694,-75.984722,1703
10,KBHX,CA, HUMBOLDT,40.498583,-124.29216,2516
11,KBIS,ND, BURLEIGH,46.770833,-100.76055,1755
12,KBLX,MT, YELLOWSTONE,45.853778,-108.60680,3703
13,KBMX,AL, SHELBY,33.172417,-86.770167,759
14,KBOX,MA, BRISTOL,41.955778,-71.136861,232
15,KBRO,TX, CAMERON,25.916,-97.418967,88
16,KBUF,NY, ERIE,42.948789,-78.736781,790
17,KBYX,FL, MONROE,24.5975,-81.703167,89
18,KCAE,SC, LEXINGTON,33.948722,-81.118278,345
19,KCBW,ME, AROOSTOOK,46.03925,-67.806431,860
20,KCBX,ID, ADA,43.490217,-116.23603,3172
21,KCCX,PA, CENTRE,40.923167,-78.003722,2486
22,KCLE,OH, CUYAHOGA,41.413217,-81.859867,860
23,KCLX,SC, BEAUFORT,32.655528,-81.042194,229
24,KCRI,OK, CLEVELAND,35.238333,-97.46,1315
25,KCRP,TX, NUECES,27.784017,-97.51125,142
26,KCXX,VT, CHITTENDEN,44.511,-73.166431,431
27,KCYS,WY, LARAMIE,41.151919,-104.80603,6193
28,KDAX,CA, YOLO,38.501111,-121.67783,144
29,KDDC,KS, FORD,37.760833,-99.968889,2671
30,KDFX,TX, KINNEY,29.273139,-100.28033,1196
31,KDGX,MS, RANKIN,32.279944,-89.984444,609
32,KDIX,NJ, BURLINGTON,39.947089,-74.410731,230
33,KDLH,MN, ST. LOUIS,46.836944,-92.209722,1542
34,KDMX,IA, POLK,41.7312,-93.722869,1095
35,KDOX,DE, SUSSEX,38.825767,-75.440117,164
36,KDTX,MI, OAKLAND,42.7,-83.471667,1216
37,KDVN,IA, SCOTT,41.611667,-90.580833,851
38,KDYX,TX, SHACKELFORD,32.5385,-99.254333,1582
39,KEAX,MO, CASS,38.81025,-94.264472,1092
40,KEMX,AZ, PIMA,31.89365,-110.63025,5319
41,KENX,NY, ALBANY,42.586556,-74.064083,1935
42,KEOX,AL, DALE,31.460556,-85.459389,537
43,KEPZ,NM, DONA ANA,31.873056,-106.698,4218
44,KESX,NV, CLARK,35.70135,-114.89165,4948
45,KEVX,FL, WALTON,30.565033,-85.921667,221
46,KEWX,TX, COMAL,29.704056,-98.028611,767
47,KEYX,CA, SANTA BARBARA,35.09785,-117.56075,2873
48,KFCX,VA, FLOYD,37.0244,-80.273969,2965
49,KFDR,OK, TILLMAN,34.362194,-98.976667,1315
50,KFDX,NM, CURRY,34.634167,-103.61888,4698
51,KFFC,GA, FAYETTE,33.36355,-84.56595,972
52,KFSD,SD, MINNEHAHA,43.587778,-96.729444,1495
53,KFSX,AZ, COCONINO,34.574333,-111.19844,7514
54,KFTG,CO, ARAPAHOE,39.786639,-104.54580,5611
55,KFWS,TX, TARRANT,32.573,-97.30315,777
56,KGGW,MT, VALLEY,48.206361,-106.62469,2384
57,KGJX,CO, MESA,39.062169,-108.21376,10101
58,KGLD,KS, SHERMAN,39.366944,-101.70027,3716
59,KGRB,WI, BROWN,44.498633,-88.111111,823
60,KGRK,TX, BELL,30.721833,-97.382944,603
61,KGRR,MI, KENT,42.893889,-85.544889,875
62,KGSP,SC, SPARTANBURG,34.883306,-82.219833,1069
63,KGWX,MS, MONROE,33.896917,-88.329194,590
64,KGYX,ME, CUMBERLAND,43.891306,-70.256361,474
65,KHDX,NM, DONA ANA,33.077,-106.12003,4270
66,KHGX,TX, GALVESTON,29.4719,-95.078733,115
67,KHNX,CA, KINGS,36.314181,-119.63213,340
68,KHPX,KY, TODD,36.736972,-87.285583,613
69,KHTX,AL, JACKSON,34.930556,-86.083611,1859
70,KICT,KS, SEDGWICK,37.654444,-97.443056,1400
71,KICX,UT, IRON,37.59105,-112.86218,10757
72,KILN,OH, CLINTON,39.420483,-83.82145,1170
73,KILX,IL, LOGAN,40.1505,-89.336792,731
74,KIND,IN, MARION,39.7075,-86.280278,887
75,KINX,OK, ROGERS,36.175131,-95.564161,749
76,KIWA,AZ, MARICOPA,33.289233,-111.66991,1426
77,KIWX,IN, KOSCIUSKO,41.358611,-85.7,1056
78,KJAX,FL, DUVAL,30.484633,-81.7019,160
79,KJGX,GA, TWIGGS,32.675683,-83.350833,618
80,KJKL,KY, BREATHITT,37.590833,-83.313056,1461
81,KLBB,TX, LUBBOCK,33.654139,-101.81416,3378
82,KLCH,LA, CALCASIEU,30.125306,-93.215889,137
83,KLGX,WA, GRAYS HARBOR,47.116944,-124.10666,366
84,KLIX,LA, ST. TAMMANY,30.336667,-89.825417,179
85,KLNX,NE, LOGAN,41.957944,-100.57622,3113
86,KLOT,IL, WILL,41.604444,-88.084444,760
87,KLRX,NV, LANDER,40.73955,-116.8027,6895
88,KLSX,MO, ST. CHARLES,38.698611,-90.682778,722
89,KLTX,NC, BRUNSWICK,33.98915,-78.429108,145
90,KLVX,KY, HARDIN,37.975278,-85.943889,833
91,KLWX,VA, LOUDOUN,38.976111,-77.4875,404
92,KLZK,AR, PULASKI,34.8365,-92.262194,649
93,KMAF,TX, MIDLAND,31.943461,-102.18925,2962
94,KMAX,OR, JACKSON,42.081169,-122.71736,7561
95,KMBX,ND, MCHENRY,48.393056,-100.86444,1590
96,KMHX,NC, CARTERET,34.775908,-76.876189,145
97,KMKX,WI, WAUKESHA,42.9679,-88.550667,1023
98,KMLB,FL, BREVARD,28.113194,-80.654083,149
99,KMOB,AL, MOBILE,30.679444,-88.24,289
100,KMPX,MN, CARVER,44.848889,-93.565528,1101
101,KMQT,MI, MARQUETTE,46.531111,-87.548333,1525
102,KMRX,TN, HAMBLEN,36.168611,-83.401944,1434
103,KMSX,MT, MISSOULA,47.041,-113.98622,7978
104,KMTX,UT, SALT LAKE,41.262778,-112.44777,6594
105,KMUX,CA, SANTA CLARA,37.155222,-121.89844,3550
106,KMVX,ND, TRAILL,47.527778,-97.325556,1083
107,KMXX,AL, TALLAPOOSA,32.53665,-85.78975,560
108,KNKX,CA, SAN DIEGO,32.919017,-117.0418,1052
109,KNQA,TN, SHELBY,35.344722,-89.873333,435
110,KOAX,NE, DOUGLAS,41.320369,-96.366819,1262
111,KOHX,TN, WILSON,36.247222,-86.5625,676
112,KOKX,NY, SUFFOLK,40.865528,-72.863917,199
113,KOTX,WA, SPOKANE,47.680417,-117.62677,2449
114,KOUN,OK, CLEVELAND,35.236058,-97.46235,1284
115,KPAH,KY, MCCRACKEN,37.068333,-88.771944,506
116,KPBZ,PA, ALLEGHENY,40.531717,-80.217967,1266
117,KPDT,OR, UMATILLA,45.69065,-118.85293,1580
118,KPOE,LA, VERNON,31.155278,-92.976111,473
119,KPUX,CO, PUEBLO,38.45955,-104.18135,5363
120,KRAX,NC, WAKE,35.665519,-78.48975,462
121,KRGX,NV, WASHOE,39.754056,-119.46202,8396
122,KRIW,WY, FREMONT,43.066089,-108.4773,5633
123,KRLX,WV, KANAWHA,38.311111,-81.722778,1213
124,KRTX,OR, WASHINGTON,45.715039,-122.965,1728
125,KSFX,ID, BINGHAM,43.1056,-112.68613,4539
126,KSGF,MO, GREENE,37.235239,-93.400419,1375
127,KSHV,LA, CADDO,32.450833,-93.84125,387
128,KSJT,TX, TOM GREEN,31.371278,-100.4925,2004
129,KSOX,CA, ORANGE,33.817733,-117.636,3106
130,KSRX,AR, SEBASTIAN,35.290417,-94.361889,737
131,KTBW,FL, HILLSBOROUGH,27.7055,-82.401778,122
132,KTFX,MT, CASCADE,47.459583,-111.38533,3805
133,KTLH,FL, LEON,30.397583,-84.328944,177
134,KTLX,OK, OKLAHOMA,35.333361,-97.277761,1278
135,KTWX,KS, WABAUNSEE,38.99695,-96.23255,1415
136,KTYX,NY, LEWIS,43.755694,-75.679861,1960
137,KUDX,SD, PENNINGTON,44.124722,-102.83,3195
138,KUEX,NE, WEBSTER,40.320833,-98.441944,2057
139,KVAX,GA, LANIER,30.890278,-83.001806,330
140,KVBX,CA, SANTA BARBARA,34.83855,-120.39791,1354
141,KVNX,OK, ALFALFA,36.740617,-98.127717,1258
142,KVTX,CA, VENTURA,34.412017,-119.17875,2807
143,KVWX,IN, GIBSON,38.26025,-87.724528,625
144,KYUX,AZ, PIMA,32.495281,-114.65671,239
145,PABC,AK, BETHEL,60.791944,-161.87638,193
146,PACG,AK, SITKA BOROUGH,56.852778,-135.52916,272
147,PAEC,AK, NOME,64.511389,-165.295,90
148,PAHG,AK, KENAI PENINSULA BOROUGH,60.725914,-151.35146,356
149,PAIH,AK, CHUGACH CENSUS AREA,59.460767,-146.30344,132
150,PAKC,AK, BRISTOL BAY BOROUGH,58.679444,-156.62944,144
151,PAPD,AK, FAIRBANKS NORTH STAR BOROUGH,65.035114,-147.50143,2707
152,PHKI,HI, KAUAI,21.893889,-159.5525,340
153,PHKM,HI, HAWAII,20.125278,-155.77777,3966
154,PHMO,HI, HAWAII,21.132778,-157.18027,1444
155,PHWA,HI, HAWAII,19.095,-155.56888,1461
156,TJUA,PR, SAN JUAN,18.115667,-66.078167,2958
